car_id,company,model,km,year,costPerDay
1,Toyota,Camry,45000,2021,180
2,Honda,Civic,62000,2020,165
3,Ford,F-150,78000,2019,220
4,Chevrolet,Silverado,95000,2018,210
5,Nissan,Altima,34000,2022,170
6,Hyundai,Elantra,58000,2020,155
7,Kia,Optima,71000,2019,160
8,Volkswagen,Jetta,42000,2021,175
9,BMW,320i,28000,2023,280
10,Mercedes,C-Class,35000,2022,320
11,Audi,A4,41000,2021,300
12,Lexus,ES,52000,2020,250
13,Mazda,Mazda6,67000,2019,185
14,Subaru,Legacy,48000,2021,190
15,Jeep,Grand Cherokee,84000,2018,195
16,Toyota,Corolla,23000,2023,150
17,Honda,Accord,56000,2020,195
18,Ford,Escape,73000,2019,175
19,Chevrolet,Equinox,89000,2018,170
20,Nissan,Sentra,31000,2022,145
21,Hyundai,Tucson,47000,2021,185
22,Kia,Sorento,68000,2019,200
23,Volkswagen,Passat,54000,2020,190
24,BMW,X3,39000,2022,350
25,Mercedes,GLC,44000,2021,380
26,Audi,Q5,37000,2022,360
27,Lexus,NX,49000,2021,290
28,Mazda,CX-5,61000,2020,195
29,Subaru,Outback,75000,2019,205
30,Jeep,Wrangler,82000,2018,225
31,Toyota,RAV4,26000,2023,210
32,Honda,CR-V,43000,2021,200
33,Ford,Explorer,77000,2019,215
34,Chevrolet,Traverse,91000,2018,205
35,Nissan,Rogue,38000,2022,180
36,Hyundai,Santa Fe,55000,2020,195
37,Kia,Telluride,29000,2023,240
38,Volkswagen,Atlas,62000,2020,220
39,BMW,X5,45000,2021,420
40,Mercedes,GLE,51000,2020,450
41,Audi,Q7,33000,2022,430
42,Lexus,GX,58000,2020,320
43,Mazda,CX-9,74000,2019,225
44,Subaru,Ascent,36000,2022,235
45,Jeep,Cherokee,86000,2018,185
46,Toyota,Prius,19000,2024,160
47,Honda,Insight,41000,2021,170
48,Ford,Mustang,32000,2022,250
49,Chevrolet,Camaro,48000,2021,260
50,Nissan,370Z,65000,2019,280
51,Hyundai,Genesis,27000,2023,290
52,Kia,Stinger,53000,2020,270
53,Volkswagen,Golf,46000,2021,165
54,BMW,330i,34000,2022,310
55,Mercedes,E-Class,40000,2021,350
56,Audi,A6,52000,2020,340
57,Lexus,IS,47000,2021,260
58,Mazda,Mazda3,59000,2020,155
59,Subaru,Impreza,72000,2019,160
60,Jeep,Compass,88000,2018,175
61,Toyota,Highlander,24000,2023,230
62,Honda,Pilot,57000,2020,220
63,Ford,Edge,81000,2018,195
64,Chevrolet,Tahoe,103000,2017,280
65,Nissan,Armada,76000,2019,250
66,Hyundai,Palisade,31000,2022,245
67,Kia,Carnival,28000,2023,235
68,Volkswagen,Touareg,63000,2020,275
69,BMW,X7,42000,2021,520
70,Mercedes,GLS,37000,2022,550
71,Audi,Q8,44000,2021,510
72,Lexus,LX,69000,2019,380
